OBJECTID,ZIPCODE,Shape_Length,Shape_Area
103,90302,38898.6628535328,51768022.0876198
104,90303,38418.3085997527,55672403.8561744
105,90304,42782.8787482868,45935698.5280412
106,90305,38633.6160668642,45367397.2744156
107,90401,27719.3813158195,23522669.0694542
108,90402,49898.0491008366,54260993.1459901
109,90403,39140.7087521431,38720755.1609108
110,90404,42483.1088037901,53047319.8647992
111,90405,45710.3660889249,77411786.5792966
112,90501,71750.0717140225,157273051.04184
113,90502,42751.3702064313,63151351.6478371
114,90503,62503.0060449752,163804707.716577
115,90504,52890.1259756352,107762252.96943
116,90505,68803.6573471398,163049815.50242
117,90506,8510.13892177607,4584443.58759786
118,90601,136418.69115808,272864259.124901
119,90602,78937.6615502882,73226413.6577552
120,90603,80646.7587277875,86393234.0761798
121,90604,71711.5277617004,118482055.075358
122,90605,135634.225568203,173199677.080202
123,90606,66310.9717210268,104411475.756375
124,90623,4621.4705570711,1063860.38727902
125,90630,9585.82212648746,1287939.42051069
126,90631,74809.7262009252,178096187.756644
127,90638,91812.3007723921,215212007.66927
128,90639,10676.9577343862,3949906.06235078
129,90640,104064.388982871,237096901.479782
130,90650,92732.5475093615,271565800.282321
131,90660,105083.371955828,264888660.901257
132,90670,136070.117408968,238348748.446512
133,90701,41707.5207503858,45338282.7251663
134,90703,119688.672502976,246426950.211955
135,90706,59208.1573347905,171785341.544993
136,90710,47358.7561903972,74043898.2410008
137,90712,61873.34470696,115374047.97267
138,90713,47619.8254688708,97324228.2510439
139,90715,41993.949444744,47788234.2809758
140,90716,25964.8954988055,26594509.149142
141,90717,46940.8181301039,54856764.3872796
142,90723,62962.740436036,136327815.946447
143,90731,134529.162172264,356036411.785486
144,90732,86523.2396509506,88612943.9267278
145,90744,92694.9101495409,243298098.120707
146,90745,81937.2444241819,244127012.012188
147,90746,82396.5115084893,142243752.642419
148,90747,17152.4388187892,15298214.4718183
149,90755,56381.9493637339,61488288.0708376
150,90802,181881.27550552,168434676.390815
151,90803,68577.1412057042,137033918.150137
152,90804,46944.6116699556,59523294.6493204
153,90805,73017.6812171958,208385055.446475
154,90806,96001.4575982668,125678929.45931
155,90807,78510.5701957274,135399628.210387
156,90808,74753.2988767424,188840478.545623
157,90810,81539.3054731914,192310091.840918
158,90813,63418.0782358054,98606449.0677527
159,90814,48405.9028074205,37504063.8648371
160,90815,88367.9439001127,194984820.907638
161,90822,8830.99593686719,4687731.38605273
162,90831,3993.2052999386,872647.771336852
163,90840,22027.7851077447,10149551.6021114
164,90846,19768.3220834208,12406581.0326444
165,91001,189954.44099414,900049190.30653
166,91006,142398.582480983,185775167.17779
167,91007,70703.2363729582,152036005.307814
168,91008,43157.5395246247,56392330.8814495
169,91010,138869.072409187,301063683.161768
170,91011,241563.96547775,837321494.113342
171,91016,221662.842851662,735304906.076424
172,91020,28301.8083586666,20468364.2053456
173,91023,31949.1595240105,45514534.7155116
174,91024,266703.395996826,1553103292.40539
175,91030,45255.1451087249,95762060.1502541
176,91040,133126.574673164,342948302.692194
177,91042,227474.642353425,1409499919.14148
178,91046,1801.7022216493,191184.208317768
179,91101,34802.8114654994,34958597.7069073
180,91103,80603.3482639867,142110273.120506
181,91104,57027.6938078973,105364790.486784
182,91105,64802.1264477201,108704228.540374
183,91106,75164.3734691382,78534705.9290435
184,91107,82825.3484852073,224566057.693888
185,91108,58145.7871702425,105907263.182142
186,91125,7767.45555186008,1792972.1563579
187,91126,4431.96976334268,870984.520756258
188,91201,51870.1035878682,81306114.710524
189,91202,41425.6605840677,62648778.9742047
190,91203,23974.6992128615,24744364.5123086
191,91204,39174.6672358829,31448358.7862316
192,91205,45915.0093924409,60779492.5805672
193,91206,85276.0331901228,168696443.63408
194,91207,56735.0773282657,85227936.6073217
195,91208,111242.21837703,216484760.273175
196,91210,6587.80606151569,1601445.31351496
197,91214,85515.1744645882,243895352.92067
198,91301,140294.843001543,722941323.759904
199,91302,199345.881342647,831699556.7714
200,91303,39830.9250161732,59642299.0316075
201,91304,92738.9257414739,264974245.740727
202,91306,54949.3786230815,115739866.818817
203,91307,54676.3351557677,124165104.210358
204,91311,152159.245243434,633719437.224705
205,91316,63843.082394565,158922398.468154
206,91324,63449.6115470161,121478902.734049
207,91325,98047.2560742827,133846096.093189
208,91326,106374.188978369,311973791.76873
209,91330,23284.7445772171,15272036.7741814
210,91331,87577.3712695718,237080041.496165
211,91335,59869.8199979676,182517574.54024
212,91340,56015.0873329949,97073111.1003651
213,91342,303315.62819957,1816661220.01742
214,91343,64622.4154520171,159193603.132882
215,91344,97884.8936445631,398434104.247881
216,91345,43365.1004154849,90791225.3774386
217,91350,151942.73021504,388765453.753041
218,91351,143635.636382124,275803114.939292
219,91352,162985.692720662,415419092.718829
220,91354,94055.5111599169,209706261.036018
221,91355,158179.702511088,401961136.884571
222,91356,72629.8238165928,208898447.382727
223,91361,63085.7913216017,147148236.578205
224,91362,24702.4126740588,28341041.3428841
225,91364,75118.954669489,200193548.727946
226,91367,87120.8517006181,216470652.793672
227,91381,175729.557459769,766642563.314674
228,91382,113163.173305071,283164508.51866
229,91384,459843.59140542,4655488363.23781
230,91387,211760.653805321,843673148.56354
231,91390,574958.417002722,6598045168.8336
232,91401,51563.8212204447,99335496.3798285
233,91402,57693.8172447214,104046169.999003
234,91403,68597.9499476574,96843679.6710244
235,91405,49011.22049991,92209259.5296266
236,91406,68134.2562658614,189361101.656111
237,91411,43997.8447852814,53713776.0966812
238,91423,81059.1652071207,113253257.132755
239,91436,77816.5365703656,177689043.09444
240,91501,61337.304692354,125232549.37749
241,91502,35228.8488109358,39700624.1097295
242,91504,57507.808821194,131446473.141173
243,91505,93419.6905756043,143159286.744089
244,91506,43789.754113636,64866884.0981461
245,91521,5886.40482467693,2214252.2515182
246,91522,7381.80745885459,3462269.41193647
247,91523,5292.8167321857,1815340.90487478
248,91601,50023.4067206238,74137859.9737139
249,91602,42988.4987168183,58804795.4564268
250,91604,76710.2862077637,139593615.104136
251,91605,70606.0530892583,147374305.53973
252,91606,56311.7025236927,91562088.7172917
253,91607,43360.6550130382,69607233.2803441
254,91608,17061.4089532108,16240540.1214635
255,91702,297423.490049799,1640834282.89502
256,91706,126744.986836605,413467836.790747
259,91711,151110.18184537,523420865.346578
260,91722,83310.5711649018,114672133.258443
261,91723,45009.6833598195,64912802.8062941
262,91724,117095.295187312,173389972.081247
263,91731,79394.9732042441,105982840.046834
264,91732,79277.785681777,139826395.375027
265,91733,70074.3495096164,171378375.075385
266,91740,67672.6781052187,140126926.211366
267,91741,134791.855530531,655310422.626029
268,91744,114910.483533154,248831048.28249
269,91745,124242.357097874,405232415.727541
270,91746,115518.39665891,179303778.758617
272,91750,347602.159337575,2170919762.70672
273,91754,59277.1206933118,126477786.106517
274,91755,60163.6385207585,86913134.6530915
275,91759,93434.0339582124,128649507.601594
278,91767,81779.088780635,158861312.012884
279,91768,101774.941190808,208656331.856627
280,91770,88629.672939445,181762195.880095
281,91773,172742.66598344,422199601.344848
282,91775,59531.2145950081,85444295.7285204
283,91776,61588.0320761876,97127615.6285211
284,91780,67491.9628043221,106549055.946893
285,91789,142110.236455293,440377794.129826
286,91790,89120.3200844743,161400603.155503
287,91791,92119.3066964718,183942689.997558
288,91792,77710.4759294556,107174555.732421
289,91801,68390.9314864835,120767478.500961
290,91803,53937.8971548183,89705275.0944372
291,92397,141863.526172384,995790778.92808
294,93243,241837.323273952,1636536728.34499
295,93510,306567.673073708,2217365259.35324
296,93523,303643.882886555,2101976938.9753
297,93532,456162.712668073,3140227508.54861
298,93534,206885.831783924,614822601.353738
299,93535,508434.934365489,7116859743.25146
300,93536,630966.131351815,7768524289.79312
301,93543,317055.085779203,2031257904.75854
302,93544,353049.140481731,2659727640.47624
303,93550,496142.272184545,4497844914.67867
304,93551,335153.4975827,2243155701.11164
305,93552,283082.940814308,1905736606.63987
306,93553,304651.759849947,1590361973.24724
307,93563,288369.052910212,2074198599.93895
308,93591,426758.841647845,2604197956.96595
309,90704,672527.521272422,3661301104.00847
310,90802,3122.7801850632,485596.910410273
311,90803,3263.75424925944,569833.507846711
312,90803,3729.23315944869,655606.076653784
313,90803,3207.85305063196,529034.739425671
314,91321,227772.100475729,756479348.940691
315,90013,27153.2725236993,18667346.7699582
316,90090,7248.50795551475,684133.064528239
317,91709,13364.5610987838,3787999.54654459
318,91748,105409.004194598,405594866.542859
319,91765,135366.724864163,523003124.31966
320,91766,74134.4660554332,271002027.265117
